Label Code,Artist,Title,Label,Format,Released,Date Added
FC014,A Place To Bury Strangers / Ceremony (2),Less Artists More Condos Series #1,Famous Class,"7"", Single",2012,2013-12-02 16:32:27
86893-1,Operation Ivy,Energy,Hellcat Records,"LP, Album, Ltd, RE, RM, Red",2012,2014-01-23 21:22:53
87079-1,Operation Ivy,Hectic E.P.,Hellcat Records,"12"", EP, Ltd, RE, RM, Red",2012,2014-01-28 18:26:04
107,Girl Talk,Secret Diary,Illegal Art,"12"", Pic",2012,2014-01-27 12:13:56
JAG225,Bon Iver,Beth / Rest,Jagjaguwar,"12"", Single",2012,2014-01-23 20:21:02
OLE 976-7,Stephen Malkmus & The Jicks / L.A. Guns,Singles Going Home Alone #1,Matador,"7"", Single",2012,2013-12-02 16:36:26
OLE 983-7,OBN III's,Singles Going Home Alone #2,Matador,"7"", Blu",2012,2013-12-02 16:36:13
OLE 984-7,The Men (2),Singles Going Home Alone #3,Matador,"7"", Single, Red",2012,2013-12-02 16:34:18
OLE 986-7,Jesu,Duchess | Veiled,Matador,"7"", Mag",2012,2013-12-02 16:34:52
OLE-1004-7,Primitive Romance,Singles Going Home Alone #7,Matador,"7"", Single, Red",2012,2013-12-02 16:35:39
OLE-974-1,F----d Up,Year Of The Tiger,Matador,"12""",2012,2014-01-20 08:41:40
OLE-987-7,Kurt Vile & Meg Baird,Singles Going Home Alone #6,Matador,"7"", Single, Whi",2012,2013-12-02 16:35:24
MRG268,Destroyer (4),Destroyer's Rubies,Merge Records,"2xVinyl, RE, RM, Red",2012,2014-01-22 09:49:11
MEX 109,Best Coast,The Only Place,Mexican Summer,"LP, Album",2012,2014-01-15 18:33:08
MP050-1,Sleigh Bells,Reign Of Terror,Mom + Pop,LP,2012,2014-01-15 12:43:47
PRC-233,Of Montreal,Paralytic Stalks,Polyvinyl Record Company,"2xLP, Album, Yel",2012,2014-01-23 18:11:03
PRC-9136,Xiu Xiu / Dirty Beaches,Always / Tu Ne Dis Rien,Polyvinyl Record Company,"7"", Ltd",2012,2014-01-28 14:29:50
PRC-9138,Deerhoof / Of Montreal,Stygian x} Bisection,Polyvinyl Record Company,"7"", Ltd, Cle",2012,2013-12-02 16:28:45
"7-530123 (K1), 530123-7",Mastodon / Feist,Feistodon,"Reprise Records, Reprise Records","7"", Single, Ltd",2012,2013-12-02 16:19:34
RFC:042,Shook Ones,MerriweatherPostPavilion,Run For Cover Records (2),"7""",2012,2013-12-02 16:55:26
SH082,This Town Needs Guns,Animals,Sargent House,"LP, Album, RE, Cle",2012,2014-01-23 21:12:55
SHOV 1,Pussy Galore (2),Feel Good About Your Body,Shove Records,"7"", EP, Ltd, RE, Bla",2012,2014-01-28 15:02:48
SD1476-1,Anti-Flag,The General Strike,SideOneDummy Records,"LP, Album, Cle",2012,2014-01-10 18:09:00
SD1476-1,Anti-Flag,The General Strike,SideOneDummy Records,LP,2012,2014-01-23 17:56:59
none,Flogging Molly,Drunken Lullabies,"SideOneDummy Records, Borstal Beat Records","7"", Ltd, Red",2012,2014-01-28 15:29:08
STNVOL-004,Garbage,Blood For Poppies,Stun Volume,"7"", Ltd, Whi",2012,2014-01-28 15:26:38
SP1033,Mogwai,A Wrenched Virile Lore,Sub Pop,"LP, Gra + LP, Red",2012,2014-01-23 21:52:19
TE216-1,Fear (3),The Fear Record,The End Records,"LP, Album, Ltd, Whi",2012,2014-01-23 20:18:18
TKR 025,Ramona Falls,Prophet,The Kora Records,"2xLP, Album, Ltd, Gre",2012,2014-01-26 23:21:09
TMR-139,Jack White (2),Blunderbuss,Third Man Records,"LP, Album",2012,2014-01-23 10:21:05
B0016691-01,Of Monsters And Men,My Head Is An Animal,Universal Republic Records,"2xLP, Album, Pin",2012,2014-01-23 21:26:06
VSD 79290,Buddy Guy,This Is Buddy Guy,Vanguard,"LP, Album, RE, Ltd",2012,2014-01-22 20:26:19
VCA 80327-1,OFF!,OFF!,Vice Records,"12"", Album",2012,2014-01-23 20:17:33
5099946425416,The Smashing Pumpkins,Pisces Iscariot,Virgin,"2xLP, RE, RM, Comp, 180",2012,2014-01-26 23:27:09
"7-530318-7 , 7-530318 (K1)",The Flaming Lips / Mastodon,A Spoonful Weighs A Ton,"Warner Bros. Records, Reprise Records, Warner Bros. Records, Reprise Records","7"", Single, Ltd, Pin",2012,2013-12-02 16:27:25
WAP327,Battles,Dross Glop 1,Warp Records,"12"", Single",2012,2014-01-11 10:17:56
WV99,Lymbyc Systym,Symbolyst,Western Vinyl,"LP, Album, Whi",2012,2014-01-26 13:26:51
YT080LPX,The XX,Coexist,Young Turks,"LP, Album, Dlx, Ltd",2012,2014-01-23 08:02:21
AF061,White Wives,Self-Titled,A-F Records,"7"", Yel",2013,2014-01-30 21:36:31
AF061,White Wives,Self-Titled,A-F Records,"7"", Blu",2013,2014-01-30 21:42:41
"ANTI-87260-1, 87260-1",Calexico,Spiritoso ,"Anti-, Anti-","LP, Album + CD, Album + RE, Ltd, Num",2013,2014-01-23 08:14:37
"ASB093, ASB095",The Suicide Machines,Battle Hymns,"Asbestos Records, Asbestos Records","LP, Album, RE, Cle + 7"", Blu",2013,2014-01-23 21:00:02
882188016,Gogol Bordello,Pura Vida Conspiracy,ATO Records,"LP, Whi + 7"", Whi",2013,2014-01-23 07:52:37
UXB017,Random Hand,Live In K-Town,Bomber Music,"LP, Cle",2013,2014-04-23 15:48:56
BRWN-001,Band Of Horses,Acoustic At The Ryman,Brown Records,"7""",2013,2013-11-29 14:23:31
halo 28v,Nine Inch Nails,Hesitation Marks,Columbia Records,"2xLP, Album, 180 + CD, Album",2013,2014-01-21 21:40:27
"88883716861, 88883 71686 1",Daft Punk,Random Access Memories,"Columbia, Columbia, Sony Music, Sony Music","2xLP, Album, 180",2013,2014-01-21 22:12:13
DW146,Deafheaven,Sunbather,Deathwish Inc.,"12"", Bab + 12"", Pis + Album, RP",2013,2015-12-12 17:53:35
DW147,Oathbreaker,Eros|Anteros,Deathwish Inc.,"LP, Album, Cle",2013,2016-03-13 22:58:50
DW151,Touché Amoré,Is Survived By,Deathwish Inc.,"LP, Album, Ltd, Tra",2013,2014-01-27 15:08:23
88691944331,Shuggie Otis,Introducing Shuggie Otis,"Epic, Legacy","LP, Comp, Ltd, Num, 180",2013,2014-01-23 09:22:32
87228-1,Bad Religion,True North,Epitaph,"LP, Album + CD, Album",2013,2014-01-10 18:01:55
87276-1,Bad Religion,Christmas Songs,Epitaph,"LP, Album, Ltd, Etch",2013,2013-12-17 11:50:12
87276-7,Bad Religion,Father Christmas,Epitaph,"7"", S/Sided, Etch",2013,2013-12-17 11:50:45
EPITAPH 87263-1,Transplants,In A Warzone,Epitaph,"LP, Album, Ltd, Cle + CD",2013,2014-01-10 17:16:31
FFINC 048,Blue Sky Black Death,Glaciers,Fake Four Inc.,"2xLP, Album, Ltd",2013,2014-01-12 21:37:21
GLS-0142-10,Mumford & Sons,Live From Bull Moose,Glassnote (2),"10"", Ltd",2013,2013-11-22 10:01:37
"H-110312, PPR100-1",Tim Timebomb,She's Drunk All The Time,"Hellcat Records, Pirates Press Records","7"", Single, Ltd",2013,2014-02-02 11:51:42
"H-111012, PPR100-3",Tim Timebomb,Change That Song Mr. DJ,"Hellcat Records, Pirates Press Records","7"", Single, Ltd",2013,2014-02-02 11:52:07
"H-112412, PPR100-2",Tim Timebomb,30 Pieces Of Silver,"Hellcat Records, Pirates Press Records","7"", Single, Ltd",2013,2014-02-02 11:51:56
ASB092,The Suicide Machines,Destruction By Definition,Hollywood Records,"LP, RE, Cle + 7"", Mar",2013,2014-01-23 20:58:59
HA0015LP,Courtney Barnett,The Double EP: A Sea Of Split Peas,House Anxiety Records,"2xLP, EP, Comp",2013,2014-03-20 09:55:48
JWCY001VL1,Best Coast,Fade Away,Jewel City,"LP, MiniAlbum",2013,2014-03-22 12:08:33
"88765482911, none",Various,No Alternative,"Legacy, Arista","2xLP, Comp, Ltd, Num, 180",2013,2014-01-23 08:11:08
"MBL160-1, MBL 160 - 1",This Will Destroy You,"Live In Reykjavik, Iceland","Magic Bullet Records, Magic Bullet Records","LP, Whi + LP, Bla + LP, Gre + Album, Ltd",2013,2013-11-22 23:28:28
MEX 132,Best Coast,Fear Of My Identity / Who Have I Become,Mexican Summer,"7""",2013,2014-01-28 16:06:19
MOVLP776,Broken Bells (2),Broken Bells,Music On Vinyl,"LP, Album, Ltd, Num, RP, Cle",2013,2014-01-23 16:39:13
0 6700 30983 1 1,Ladytron,Gravity The Seducer (Remixed),Nettwerk,"LP, Album, Ltd, Blu",2013,2013-11-29 14:23:04
536075-1,Billy Bragg & Wilco,Mermaid Avenue,Nonesuch,"2xLP, Album, RE",2013,2013-11-29 14:21:32
536076-1,Billy Bragg & Wilco,Mermaid Avenue Vol. II,Nonesuch,"2xLP, Album, RE",2013,2013-11-29 14:22:16
536077-1,Billy Bragg & Wilco,Mermaid Avenue Vol. III,Nonesuch,"2xLP, Album",2013,2013-12-02 09:00:00
BEATSLP005,Beats Antique,A Thousand Faces - Act 1,Not On Label (Beats Antique Self-released),2xLP,2013,2014-04-07 09:28:39
ER-3014,Express Rising,Express Rising,Not On Label (Express Rising Self-released),"LP, Album, Ltd",2013,2014-02-21 11:53:09
10064,Gojira (2),The Way Of All Flesh,Prosthetic Records,"2xLP, Album, Ltd, RE, Blu",2013,2014-04-19 11:11:03
RTR-001,Remember The Radio,Remember The Radio,Remember The Radio,LP,2013,2014-01-21 21:30:55
534778-1,Deftones,Live: Vol. 1 - Selections From Adrenaline,Reprise Records,"12"", EP",2013,2014-01-22 09:52:58
RFC066,Shook Ones / Death Is Not Glamorous,Shook Ones | Death Is Not Glamorous,Run For Cover Records (2),"7"", Red",2013,2015-02-28 09:06:20
"RFC:069, AF:054",Anti-Flag + Hostage Calm,Anti-Flag + Hostage Calm,"Run For Cover Records (2), A-F Records","7"", S/Sided, Etch, Red",2013,2013-12-02 16:24:12
"RFC:069, AF:054",Anti-Flag + Hostage Calm,Anti-Flag + Hostage Calm,"Run For Cover Records (2), A-F Records","7"", S/Sided, Etch, Whi",2013,2013-12-02 16:22:38
"RFC:069, AF:054",Anti-Flag + Hostage Calm,Anti-Flag + Hostage Calm,"Run For Cover Records (2), A-F Records","7"", S/Sided, Etch, Blu",2013,2013-12-02 16:23:07
"RFC:069, AF:054",Anti-Flag + Hostage Calm,Anti-Flag + Hostage Calm,"Run For Cover Records (2), A-F Records","7"", S/Sided, Etch, Red",2013,2013-12-02 16:23:50
SH 095,And So I Watch You From Afar,All Hail Bright Futures,Sargent House,LP,2013,2013-12-04 07:58:30
SH080,This Town Needs Guns,13.0.0.0.0,Sargent House,"LP, Album, Cle",2013,2014-01-26 23:51:19
sh108,Mylets,Retcon,Sargent House,"LP, Comp, RM",2013,2014-01-23 21:56:12
STE 702-7,"The Black Keys, RZA",The Baddest Man Alive,"Soul Temple Entertainment, Stax, Universal, Strike (6), Arcade (5)","7"", Single",2013,2013-12-02 16:13:21
TRR222,"Explosions In The Sky, David Wingo",Prince Avalanche: An Original Motion Picture Soundtrack,Temporary Residence Limited,"LP, Ltd, Tra",2013,2013-11-22 23:48:51
TMR200,The White Stripes,Elephant,Third Man Records,"LP, Red + LP, Whi + Album, Ltd, RE, RP",2013,2014-01-23 08:10:00
"TSR072, RFC068",Tigers Jaw / The World Is A Beautiful Place & I Am No Longer Afraid To Die / Code Orange Kids / Self Defense Family,4-way Split,"Topshelf Records (2), Run For Cover Records (2)","7"", Pea",2013,2013-12-02 16:39:15
VR246,Comeback Kid,Wake The Dead,Victory Records,"LP, Album, RE, Ltd, Roy",2013,2014-01-23 20:21:49
VR297,Between the Buried and Me,The Anatomy Of,Victory Records,"2xLP, Album, Ltd, Tra",2013,2014-01-23 10:32:31
"7-534811 (K1), 534811-7",The Stooges & The Black Keys,No Fun,"Warner Bros. Records, Elektra, Alive Records","7"", Ltd, Ora",2013,2013-12-02 16:30:45
YT090T,The XX,Jamie xx Edits,Young Turks,"12"", Single, Ltd",2013,2014-01-23 07:59:33
544594-1,alt-J,This Is All Yours,Atlantic,"2xLP, Album, Col",2014,2014-09-26 21:17:35
BL01/WH35,La Dispute,Rooms Of The House,Better Living,LP,2014,2014-03-18 13:24:11
BRWN003,Band Of Horses,Acoustic At The Ryman,Brown Records,"LP, Album, 180",2014,2014-02-17 16:11:10
B001983901,Beck,Morning Phase,Capitol Records,"LP, Album, 180",2014,2014-02-28 17:00:27
88843 04142 1,Broken Bells (2),Holding On For Life,Columbia,"12"", Single, Ltd",2014,2014-04-19 11:18:02
888430918313,Various,Wish I Was Here (Music From The Motion Picture),Columbia,"2xLP, Comp, 180",2014,2014-08-19 14:10:43
88883712831,Johnny Cash,Out Among The Stars,"Columbia, Legacy","LP, Album, Gat",2014,2014-03-28 17:37:50
DW163v,Touché Amoré,Live On BBC Radio 1: Vol 2,Deathwish Inc.,"7"", EP, Whi",2014,2015-02-27 11:03:44
888750640277,Modest Mouse,Lampshades On Fire / Coyotes,Epic,"7""",2014,2015-03-15 15:50:59
88843076011,Various,Garden State (Music From The Motion Picture),"Epic, Legacy","2xLP, 180",2014,2014-08-19 14:10:09
86497-1,Rancid,Life Won't Wait,Epitaph,"2xLP, Album, Ltd, RP, Ora",2014,2014-07-12 18:59:06
87378-1,Pianos Become The Teeth,Keep You,Epitaph,"LP, Album, Ltd, Col",2014,2014-11-08 17:23:45
"87271-1, 87271-7",Rancid,...Honor Is All We Know,"Epitaph, Hellcat Records, Epitaph, Hellcat Records","LP, Album, Yel + 7"", Single, Yel + CD, Album",2014,2014-11-08 17:25:33
80307-1,R.L. Burnside,Too Bad Jim,Fat Possum Records,"LP, Album, Club, Ltd, Num, RE, 180",2014,2014-10-16 09:37:53
FSM 229-1,The Dirty Heads,Sound Of Change,Five Seven Music,"LP, Album",2014,2014-08-07 17:22:17
GA012,The Glitch Mob,Love Death Immortality,Glass Air Records,"2xLP, Album",2014,2014-12-30 21:56:58
STK-00004-1,The Glitch Mob,Drink The Sea ,Glass Air Records,"2x12"", Album, RE, Mar + 10"", EP, RE, Mar + Ltd",2014,2014-04-19 11:40:58
GLS-0152 01,Childish Gambino,Because The Internet,Glassnote (2),"2xLP, Ltd, Wit",2014,2014-04-19 11:23:49
none,Chvrches,Recover EP,Glassnote (2),"12"", EP, Ltd, Num, Ora",2014,2014-04-19 11:25:23
80527-1,The Interrupters,The Interrupters,Hellcat Records,"LP, Album + CD, Album",2014,2014-08-19 13:47:04
"HD022, LLR009",Symbol (9),Online Architecture,"HoloDeck, Light Lodge","LP, Ltd",2014,2014-03-20 09:57:20
ICR-78,Diarrhea Planet,I'm Rich Beyond Your Wildest Dreams,Infinity Cat Recordings,"LP, Club, Ltd, Gre",2014,2014-07-21 10:14:01
IL2020,De Lux (2),Voyage,Innovative Leisure Records,"2xLP, Album, Cle",2014,2015-06-30 17:36:26
"JNR132, AKR117",Sisyphus (3),Sisyphus,"Joyful Noise Recordings, Asthmatic Kitty Records","LP, Yel + LP, Pur + Album, Club, Ltd, Num",2014,2014-05-17 11:26:36
88843042641,OutKast,Southernplayalisticadillacmuzik,LaFace Records,"LP, Album, Ltd, Num, 180",2014,2014-04-19 11:13:23
LEX099LP,NehruvianDOOM,NehruvianDOOM (Sound Of The Son),Lex Records,"LP, Album",2014,2014-10-29 11:57:12
Magic Bullet #81,This Will Destroy You,Young Mountain,Magic Bullet Records,"LP, Album, Ltd, RP, Whi",2014,2015-03-26 13:21:39
OLE-1049-1,F----d Up,Glass Boys,Matador,"LP, Album",2014,2014-07-12 18:45:51
NSR012,La Dispute,Somewhere At The Bottom Of The River Between Vega And Altair,No Sleep Records,"LP, Dar + LP, Etch, S/Sided, Dar",2014,2014-03-18 15:14:38
542300-1,The Black Keys,Turn Blue,Nonesuch,"LP, Album + CD, Album, Promo",2014,2014-05-12 14:49:30
none,JAGUERRA,Hue,Not On Label,"LP, Club, Ltd, Num",2014,2014-06-23 17:45:55
none,Deathmøle,Permanence ,Not On Label (Deathmole Self-Released),"LP, Album + LP, S/Sided, Etc + Album",2014,2014-08-29 17:02:51
none,Mustard Plug,Can't Contain It,Not On Label (Mustard Plug Self-released),"LP, Album",2014,2014-01-21 16:24:08
PTKF2113-1,Sylvan Esso,Sylvan Esso,Partisan Records,"LP, Album, Club, Ltd, RE, Gol",2014,2014-07-17 17:27:39
"PPR119, none",Tim Timebomb And Various,Tim Timebomb And Friends,"Pirates Press Records, Hellcat Records","3xLP, Comp, Ltd, Bon",2014,2014-05-03 09:53:34
PRC-277,Xiu Xiu,Unclouded Sky,Polyvinyl Record Company,"LP, Ltd, Clo",2014,2014-04-19 15:25:29
541585-1,Mastodon,Live At Brixton,Reprise Records,"2xLP, Ltd, Num, 180 + DVD",2014,2014-04-19 11:20:18
REV142,Shook Ones,Facetious Folly Feat,Revelation Records (8),"LP, RP, Ora",2014,2015-07-25 19:24:52
825646333547,The Pogues With Joe Strummer,Live In London,Rhino Records (2),"2xLP, Album, Ltd, Red",2014,2014-04-19 11:22:02
RR7962-4,Opeth,Watershed,Roadrunner Records,"2xLP, Album, RE, Ltd, Gre",2014,2014-04-19 11:16:45
RFC:082,Self Defense Family / Meredith Hunter (2),Split,Run For Cover Records (2),"7"", Ora",2014,2014-06-22 11:48:29
RFC:084,"Adventures, Pity Sex",Adventures / Pity Sex,Run For Cover Records (2),"7"", Bon",2014,2014-10-16 09:37:00
SH114,Helms Alee,Sleepwalking Sailors,Sargent House,"LP, Album, Ltd, Gre",2014,2016-02-25 21:32:24
SC310,The War On Drugs,Lost In The Dream,Secretly Canadian,"2xLP, Album, Club, Ltd, RE, Gre",2014,2014-08-19 14:42:31
SL 003,St. Paul & The Broken Bones,Half The City,Single Lock Records,"LP, Album, 180",2014,2015-12-12 17:55:31
STH2065,MF Doom And Madlib - Madvillain,Madvillainy,Stones Throw Records,"2xLP, Album, Club, Ltd, Num, RE",2014,2014-09-16 18:49:36
SP1079,Mogwai,Rave Tapes,Sub Pop,"Box, Ltd + LP, Album, Ltd, Tra + 12"", Ltd, Tra + 7",2014,2014-02-26 10:44:16
TC77,F----d Up,Year Of The Dragon,Tankcrimes,"12"", EP, Whi + Flexi, 7"", Shape, Whi",2014,2014-05-03 09:51:18
TRR231,Inventions,Inventions,Temporary Residence Limited,"LP, Album",2014,2014-07-12 18:43:12
TMR-271,Jack White (2),Lazaretto,Third Man Records,"LP, Album, Etch, Ult",2014,2014-06-22 11:47:33
TTM003,Against Me!,Transgender Dysphoria Blues,Total Treble,"LP, Album",2014,2014-07-12 18:36:31
TTM004,Against Me!,Unconditional Love,Total Treble,"7"", Pic, Ltd",2014,2014-07-12 18:44:00
VCA 80338-1,OFF!,Learn To Obey,Vice Records,"7"", Ltd",2014,2014-04-19 11:27:02
544681,Gary Clark Jr.,Live,Warner Bros. Records,"2xLP, Album",2014,2014-09-27 17:53:35
86777-1,Neko Case,Fox Confessor Brings The Flood,Anti-,"LP, Album, Dlx, Ltd, RE, Red",2015,2015-04-18 12:17:58
"87431-1, 87431-1SC",Deafheaven,New Bermuda,"Anti-, Anti-","2xLP, Album, Dlx, Ltd, Obi",2015,2015-12-12 17:49:01
ASB109,The Mighty Mighty Bosstones,Question The Answers,Asbestos Records,"LP, Album, Ltd, RE, Blu",2015,2015-04-18 12:50:55
ATO0269,Alabama Shakes,Sound & Color,ATO Records,"LP, 180 + LP, S/Sided, 180 + Album",2015,2015-04-25 17:42:33
BCR187-1,Dirty Rotten Imbeciles,Live At CBGB's 1984,Beer City Records,"LP, Ltd, Whi",2015,2015-04-18 16:21:21
BCR190-1,MDC (2),Live At CBGB's 1983,Beer City Records,"LP, Gre",2015,2015-04-18 19:02:55
DW172,F----d Up,Year Of The Hare,Deathwish Inc.,"12"", EP",2015,2015-06-30 17:56:21
DOC128,Masaru Sato,The Throne Of Blood,Doxy Cinematic,"LP, Album, Ltd, Whi",2015,2016-03-24 16:06:08
ES014-1,Diarrhea Planet / Those Darlins,Live At Pickathon: Diarrhea Planet / Those Darlins,Easy Sound Recording,"LP, Ltd",2015,2015-04-18 12:46:03
elite012.,The International Noise Conspiracy,Live At Oslo Jazz Festival 2002,Eliterecords,"LP, Ltd, Red",2015,2015-04-18 13:11:14
"88875049121, 88875049121-S1",Modest Mouse,Strangers To Ourselves,"Epic, Epic","2xLP, Album",2015,2015-03-15 15:50:06
87370,Refused,Freedom,Epitaph,"LP, Album, Cle",2015,2016-04-06 08:15:30
87378-7,Pianos Become The Teeth,Close,Epitaph,"7"", Ltd, whi",2015,2015-04-18 12:24:46
GET56034LP,Jurassic 5,Quality Control - The Wood Box,Get On Down,"4xLP, Album, Dlx, Ltd",2015,2015-04-18 15:07:19
none,Danger Mouse,The Gray Album,"Gray Boy, Ind","LP, Album, Ltd, Unofficial",2015,2016-04-06 08:16:18
2547166098,Best Coast,California Nights,Harvest,"LP, Album",2015,2015-07-14 21:41:32
7930183647-1,Yellowcard,A Perfect Sky,Razor & Tie,"10"", EP, Ltd",2015,2015-04-18 15:34:16
B0022971-01,Of Monsters And Men,Beneath The Skin,Republic Records,"2xLP, Album, Cle",2015,2015-06-30 18:02:00
RJE-10012-1,Icebird (3),The Abandoned Lullaby,"RJ's Electrical Connections, Mad Dragon Records","2xLP, Album, Cle",2015,2015-04-18 13:00:36
ROBO 116,Various,Whatever Nevermind,Robotic Empire,"LP, Comp, Blu + 7"", Single, Blu",2015,2015-04-18 13:28:04
SH137,And So I Watch You From Afar,Heirs,Sargent House,"LP, Album, Yel",2015,2015-05-04 19:07:33
"2547088369, none",Electric Wizard (2),Time To Die,"Spinefarm Records, Witchfinder Records","2xLP, Album, Ltd, Num, RE, Cle",2015,2015-04-18 13:15:12
TRR248,Inventions,Maze Of Woods,Temporary Residence Limited,"LP, Album, Ltd, Tra",2015,2015-03-18 10:37:37
TRR254,Inventions,Remixed,Temporary Residence Limited,"12"", Ltd, Cle",2015,2015-03-18 10:38:08
TRR262,Explosions In The Sky & David Wingo,Manglehorn (Original Motion Picture Soundtrack),Temporary Residence Limited,"LP, Album, Ltd, Cle",2015,2016-02-04 16:37:07
TTM006,Against Me!,Osama Bin Laden As The Crucified Christ,Total Treble,"7"", Ltd, S/Edition, Pur",2015,2015-04-18 16:12:58
TTM007LP,Against Me!,23 Live Sex Acts,Total Treble,"3xLP, Album, Ltd, Min",2015,2016-04-04 20:52:53
VR062,Warzone (2),Fight For Justice,Victory Records,"LP, RP, Gra",2015,2015-04-18 13:45:10
VR718,Comeback Kid,Rain City Sessions +1,Victory Records,"10"", Sol",2015,2015-04-18 12:43:55
COUNT077,The Heavy,Hurt & The Merciless,Counter Records,"LP, Album",2016,2016-04-06 08:14:59
TRR270,Explosions In The Sky,The Wilderness,Temporary Residence Limited,"LP, Tra + LP, Etch, Opa",2016,2016-03-27 00:34:53
